SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
DHANUKA,EQ,711,720,702.05,713.25,716.95,713.65,7205,5117495.95,26-DEC-2016,284,INE435G01025,
DHARSUGAR,EQ,31,31.85,29.45,30,29.8,31.2,55840,1691159.8,26-DEC-2016,612,INE988C01014,
DHFL,EQ,233.9,234.55,228.1,230.9,231,233.9,1078752,249819671.85,26-DEC-2016,11742,INE202B01012,
DHFL,N6,1004.15,1006.5,1003.5,1005.87,1005,1006.03,383,385143.15,26-DEC-2016,13,INE202B07HP2,
DHFL,N8,1025,1025,1025,1025,1025,1030,57,58425,26-DEC-2016,3,INE202B07HR8,
DHFL,NA,1029.9,1030,1018,1020,1020,1020.22,45,45968,26-DEC-2016,5,INE202B07HT4,
DHFL,NC,1020,1020.5,1018,1018.77,1019,1020,1328,1354220.42,26-DEC-2016,45,INE202B07HV0,
DHFL,NL,1020,1020,1010.01,1010.01,1010.01,1009.5,79,80540.04,26-DEC-2016,8,INE202B07IK1,
DHFL,NP,1013.4,1013.74,1012.25,1012.52,1012.75,1012.06,1047,1060743.03,26-DEC-2016,34,INE202B07IO3,
DHUNINV,EQ,163.1,175,163.1,171.2,173.45,169.9,2660,448888,26-DEC-2016,54,INE320L01011,
DIAPOWER,EQ,30.4,30.6,28.95,29.25,29.25,30.45,114942,3416753.3,26-DEC-2016,1304,INE989C01012,
DICIND,EQ,453.5,453.75,449,451.4,451.25,454.75,1669,753480.4,26-DEC-2016,29,INE303A01010,
DIGJAMLTD,EQ,11.5,11.55,11.1,11.35,11.35,11.5,78857,893993.8,26-DEC-2016,250,INE731U01010,
DISHMAN,EQ,211.05,211.15,202.3,204.05,202.65,211.3,311874,64218780.1,26-DEC-2016,5117,INE353G01020,
DISHTV,EQ,83.6,83.65,80.75,81.3,81.15,83.3,2094853,171412826.1,26-DEC-2016,10912,INE836F01026,
DIVISLAB,EQ,850,850,743.65,762.3,760.1,861.5,18358412,14293135506,26-DEC-2016,414521,INE361B01024,
DLF,EQ,112.3,113,104.35,105.15,104.75,113.75,14954475,1606424082.05,26-DEC-2016,52191,INE271C01023,
DLINKINDIA,EQ,107.7,108.9,105.25,107.1,107.5,107.8,590790,63299333.4,26-DEC-2016,9400,INE250K01012,
DOLPHINOFF,EQ,117.9,119.6,115.25,115.75,115.75,118.35,168301,19753263.3,26-DEC-2016,5094,INE920A01011,
DONEAR,EQ,56.45,56.45,52.05,52.6,52.05,54.7,62852,3423081.95,26-DEC-2016,456,INE668D01028,
DPL,EQ,76.5,76.5,73.5,74.4,74.25,74.65,12323,916830.3,26-DEC-2016,103,INE477B01010,
DPSCLTD,EQ,34.5,35.75,33.7,34.1,33.7,35.2,9044,313070.7,26-DEC-2016,65,INE360C01024,
DQE,EQ,22.6,22.7,21.4,21.5,21.45,21.95,23395,512973.15,26-DEC-2016,148,INE656K01010,
DREDGECORP,EQ,390.5,407,380.05,381.7,381.6,394.5,152595,60394744.8,26-DEC-2016,5106,INE506A01018,
DRREDDY,EQ,2990,3028,2979.1,2986,2983.95,2998.55,106615,320138676.3,26-DEC-2016,9516,INE089A01023,
DSKULKARNI,EQ,62.9,62.9,59.2,60.1,61,62.2,13532,813107.55,26-DEC-2016,89,INE891A01014,
DSSL,EQ,14.1,14.6,14.1,14.6,14.6,14.7,360,5196,26-DEC-2016,3,INE417B01040,
DTIL,EQ,285,287.5,276.55,286.2,286,285.05,1182,333092.4,26-DEC-2016,103,INE341R01014,
DUCON,EQ,56.6,58.45,55.55,55.55,55.55,58.45,54617,3039122.15,26-DEC-2016,256,INE741L01018,
DWARKESH,EQ,282,296.3,275.1,278.4,281,287.75,904289,259757506.6,26-DEC-2016,16230,INE366A01033,
DYNAMATECH,EQ,2881,2881,2765,2779.4,2798,2880.85,558,1580841.65,26-DEC-2016,142,INE221B01012,
EASTSILK,EQ,2.45,2.5,2.35,2.4,2.4,2.45,17327,41703.55,26-DEC-2016,33,INE962C01027,
EASUNREYRL,EQ,24.05,24.5,23.15,23.85,23.65,24.3,14984,356321.55,26-DEC-2016,81,INE268C01029,
ECEIND,EQ,280.8,287,265.95,270.9,271.55,289.4,10585,2940948.2,26-DEC-2016,271,INE588B01014,
ECLERX,EQ,1364,1375,1340,1352.1,1350,1345.35,6575,8879423.1,26-DEC-2016,740,INE738I01010,
ECLFINANCE,N1,998,1001.85,997.5,997.54,997.5,997.02,381,380443.8,26-DEC-2016,17,INE804I07SG6,
ECLFINANCE,N2,1388.01,1388.01,1388.01,1388.01,1388.01,1395,10,13880.1,26-DEC-2016,1,INE804I07SH4,
ECLFINANCE,N3,1120,1120,1102,1106.73,1111,1100.02,153,169818.89,26-DEC-2016,10,INE804I07SI2,
ECLFINANCE,N4,1451,1451,1451,1451,1451,1467.67,200,290200,26-DEC-2016,2,INE804I07SJ0,
ECLFINANCE,N5,1116.1,1117.1,1116.1,1117,1117,1116.14,108,120596.4,26-DEC-2016,6,INE804I08601,
ECLFINANCE,NA,1185,1185,1185,1185,1185,1300,1,1185,26-DEC-2016,1,INE804I07ZK3,
ECLFINANCE,NB,1003,1054.9,1003,1054.45,1054,1045,15,15559.5,26-DEC-2016,3,INE804I07ZL1,
EDELWEISS,EQ,97.7,97.7,90.95,91.9,92.7,98.2,1059433,99240256.45,26-DEC-2016,9859,INE532F01054,
EDL,EQ,52.6,54,50.8,51.5,51.9,53.6,20503,1070102.35,26-DEC-2016,338,INE180G01019,
EDUCOMP,EQ,10.45,10.55,10.1,10.2,10.1,10.45,160517,1647884.35,26-DEC-2016,396,INE216H01027,
EHFLNCD,N1,1021.05,1021.05,1020,1020.48,1020,1040,13,13266.3,26-DEC-2016,2,INE530L07178,
EHFLNCD,N5,1030,1054,1030,1051.6,1048,1052,160,167198,26-DEC-2016,9,INE530L07210,
EHFLNCD,N6,1072.1,1073.9,1069,1069.02,1069,1072.1,2648,2833741.05,26-DEC-2016,27,INE530L07228,
EICHERMOT,EQ,20800,20875.8,20228,20272.8,20250,20921.9,34006,695172211.9,26-DEC-2016,13476,INE066A01013,
EIDPARRY,EQ,243.2,245.75,238.1,243.15,243,243.65,190281,46204818.85,26-DEC-2016,1473,INE126A01031,
EIHAHOTELS,EQ,270,276.7,261.6,262.8,262.7,269,980,259739.95,26-DEC-2016,48,INE276C01014,
EIHOTEL,EQ,94,94.8,92,92.35,92.9,94.95,41210,3842360.6,26-DEC-2016,420,INE230A01023,
EIMCOELECO,BE,350.05,355,345,346.1,347,359.7,1900,658072.4,26-DEC-2016,10,INE158B01016,
EKC,EQ,32,32.95,30,30.25,30.2,32.15,200646,6232394,26-DEC-2016,1185,INE184H01027,
ELAND,EQ,21.15,21.7,20.85,21.1,21.35,21.8,14158,300059.2,26-DEC-2016,91,INE311H01018,
ELECON,EQ,55.05,56.45,53.5,53.65,53.6,55.85,84752,4617927.9,26-DEC-2016,1390,INE205B01023,
ELECTCAST,EQ,22.3,22.3,21.3,21.9,21.85,22,145326,3173510.4,26-DEC-2016,429,INE086A01029,
ELECTHERM,EQ,175,181.4,173,179.8,181.4,180.25,4295,759210.25,26-DEC-2016,72,INE822G01016,
ELGIEQUIP,EQ,178.6,178.6,170.1,170.75,170.1,177.6,8230,1419764.1,26-DEC-2016,352,INE285A01027,
ELGIRUBCO,EQ,34.35,36.6,33,36.1,36.1,35.55,66708,2354039.6,26-DEC-2016,454,INE819L01012,
EMAMIINFRA,EQ,54.05,56.3,52.55,55.4,55.8,54.3,15242,830176.65,26-DEC-2016,211,INE778K01012,
EMAMILTD,EQ,975,1014,953.3,989.45,989,961.15,113163,111831758.8,26-DEC-2016,10173,INE548C01032,
EMCO,EQ,26.65,26.8,25.75,26.2,26.3,26.85,69204,1813258.1,26-DEC-2016,344,INE078A01026,
EMKAY,EQ,58,58,56,56.05,56,57.9,9460,532474.15,26-DEC-2016,96,INE296H01011,
EMMBI,EQ,117,119.3,114,116.2,117.4,118.4,16660,1945175,26-DEC-2016,487,INE753K01015,
ENDURANCE,EQ,560.9,561,536.5,542.55,538.7,561.45,22773,12508822,26-DEC-2016,1570,INE913H01037,
ENERGYDEV,EQ,61.5,64.1,61.4,64.1,64.1,61.05,346016,22070510.55,26-DEC-2016,1328,INE306C01019,
ENGINERSIN,EQ,323.45,323.45,297.15,301.95,303,323.5,4338487,1348226795.9,26-DEC-2016,33725,INE510A01028,
ENIL,EQ,755,811.05,737.1,798,801,751.6,6985,5546678.1,26-DEC-2016,728,INE265F01028,
EON,EQ,57,57.45,55.85,56.8,56.3,58.15,8023,454162.9,26-DEC-2016,100,INE076H01025,
EQ30,EQ,203.5,203.5,203.5,203.5,203.5,205.25,19,3866.5,26-DEC-2016,3,INF754K01EM9,
EQUITAS,EQ,142.9,143.25,139.4,140.65,139.6,143,294538,41639984.55,26-DEC-2016,5563,INE988K01017,
EROSMEDIA,EQ,161.9,161.9,157.2,158,157.55,162.15,52517,8343405.55,26-DEC-2016,1761,INE416L01017,
ESABINDIA,EQ,592,609,556.35,565.8,567.95,591.35,4533,2634198.45,26-DEC-2016,203,INE284A01012,
ESCORTS,EQ,288,289,277.05,279.45,277.95,290.2,518588,147114111.65,26-DEC-2016,8895,INE042A01014,
ESL,EQ,3.25,3.4,3.15,3.2,3.2,3.3,1022520,3366181.7,26-DEC-2016,274,INE481K01013,
ESSARSHPNG,EQ,28.3,28.3,27,27.3,27.2,27.4,6978,190611,26-DEC-2016,119,INE122M01019,
ESSDEE,BZ,56.95,57.8,56.55,56.7,56.55,59.5,9615,544915.2,26-DEC-2016,58,INE825H01017,
ESSELPACK,EQ,245.15,245.4,238.4,241.25,241,247.35,13527,3266723.15,26-DEC-2016,571,INE255A01020,
ESTER,EQ,37.2,37.5,34.65,36.35,36.55,37,46887,1700067.1,26-DEC-2016,867,INE778B01029,
EUROCERA,EQ,6.5,6.8,6.4,6.6,6.6,6.5,45347,300003.15,26-DEC-2016,40,INE649H01011,
EUROTEXIND,EQ,26.75,27.2,26.25,26.45,26.25,28.5,3405,91674.15,26-DEC-2016,40,INE022C01012,
EVEREADY,EQ,213,214.75,205,205.15,205,213.7,77469,16100393.15,26-DEC-2016,1136,INE128A01029,
EVERESTIND,EQ,191.8,191.8,180.3,185.1,180.5,191.7,9337,1739877,26-DEC-2016,259,INE295A01018,
EXCEL,EQ,35,35.6,35,35.2,35.25,35,21022,738994.75,26-DEC-2016,47,INE688J01015,
EXCELCROP,EQ,1700,1701,1640,1644.7,1650,1696.9,2641,4402839.4,26-DEC-2016,250,INE223G01017,
EXCELINDUS,EQ,341.8,347.7,325.55,327.95,327.2,341.8,2757,914158.15,26-DEC-2016,215,INE369A01029,
EXIDEIND,EQ,172.5,175,170.2,173.05,173.2,173.3,1970757,340709693.15,26-DEC-2016,12875,INE302A01020,
FACT,EQ,22.95,22.95,22.4,22.55,22.4,22.8,21405,486246.2,26-DEC-2016,131,INE188A01015,
FAGBEARING,EQ,3828,3869.95,3820,3826.15,3850,3827.6,632,2420596.1,26-DEC-2016,193,INE513A01014,
FARMAXIND,EQ,0.15,0.15,0.1,0.1,0.1,0.15,67500,9625,26-DEC-2016,3,INE890I01035,
FCL,EQ,28.15,28.6,27.3,27.55,27.5,28.6,84692,2350516.85,26-DEC-2016,400,INE045J01026,
FCONSUMER,EQ,19.65,19.85,19.1,19.3,19.35,19.6,699939,13554554.65,26-DEC-2016,2037,INE220J01025,
FCSSOFT,EQ,0.35,0.4,0.3,0.3,0.35,0.35,764176,259333.1,26-DEC-2016,3211,INE512B01022,
FDC,EQ,202.05,212.8,202.05,210.15,210.5,206.85,29240,6041166.6,26-DEC-2016,814,INE258B01022,
FEDDERLOYD,EQ,61.15,61.85,58.05,58.3,58.05,61.05,104919,6217747.6,26-DEC-2016,833,INE249C01011,
FEDERALBNK,EQ,65.45,65.5,61.8,62.4,62.8,65,5115520,323640185.95,26-DEC-2016,15722,INE171A01029,
FEL,EQ,16.05,16.45,16.05,16.1,16.1,16.3,261688,4228831.15,26-DEC-2016,591,INE623B01027,
